cpu_rate,mem_rate,time
0.28099173,0.3650115,2020-09-19 07:54:06
0.024793386,0.36532176,2020-09-19 07:54:07
0.024793386,0.36540687,2020-09-19 07:54:08
0.081967235,0.36569428,2020-09-19 07:54:09
0.032786906,0.36546904,2020-09-19 07:54:11
0.14876032,0.36553895,2020-09-19 07:54:12
0.26271188,0.36707485,2020-09-19 07:54:13
0.36666667,0.36094457,2020-09-19 07:54:14
0.21487606,0.373631,2020-09-19 07:54:15
0.19834709,0.37787282,2020-09-19 07:54:17
0.12396693,0.38086337,2020-09-19 07:54:18
0.046875,0.38153768,2020-09-19 07:54:19
0.13934427,0.381814,2020-09-19 07:54:19
0.21487606,0.38247020000000004,2020-09-19 07:54:20
0.2711864,0.38636827,2020-09-19 07:54:21
0.11764705,0.38658118,2020-09-19 07:54:22
0.06557375,0.38668644,2020-09-19 07:54:23
0.032786906,0.38679957,2020-09-19 07:54:23
0.03305787,0.38680542,2020-09-19 07:54:24
0.016806722,0.38680518,2020-09-19 07:54:24
0.040983617,0.38682300000000003,2020-09-19 07:54:25
0.30508476,0.38704079999999996,2020-09-19 07:54:25
0.3360656,0.3834808,2020-09-19 07:54:26
0.55371904,0.38707125,2020-09-19 07:54:27
0.16393441,0.39418042,2020-09-19 07:54:27
0.21138209,0.39625472,2020-09-19 07:54:28
0.14285713,0.3992353,2020-09-19 07:54:29
0.081967235,0.40052020000000005,2020-09-19 07:54:29
0.116666675,0.40068059999999994,2020-09-19 07:54:30
0.04132229,0.4007498,2020-09-19 07:54:30
0.032786906,0.40084934,2020-09-19 07:54:31
0.008333325,0.40085888,2020-09-19 07:54:31
0.024590135,0.40084338,2020-09-19 07:54:32
0.09166664,0.40085417,2020-09-19 07:54:33
0.008333325,0.40083122,2020-09-19 07:54:33
0.008403361,0.40083414,2020-09-19 07:54:34
0.03305787,0.40082429999999997,2020-09-19 07:54:35
0.099173546,0.40110487,2020-09-19 07:54:35
0.32520324,0.4033242,2020-09-19 07:54:36
0.42975205,0.39901596,2020-09-19 07:54:36
0.31092435,0.40639973,2020-09-19 07:54:37
0.16799998,0.40869433,2020-09-19 07:54:37
0.11570245,0.41119522,2020-09-19 07:54:38
0.13223141,0.41486824,2020-09-19 07:54:39
0.024793386,0.41942358,2020-09-19 07:54:39
0.016528904,0.41960812,2020-09-19 07:54:40
0.024793386,0.4197374,2020-09-19 07:54:41
0.008333325,0.41948903,2020-09-19 07:54:41
0.016528904,0.41951722,2020-09-19 07:54:42
0.12605041,0.41955167,2020-09-19 07:54:42
0.008403361,0.41953903,2020-09-19 07:54:43
0.016528904,0.4195416,2020-09-19 07:54:43
0.040983617,0.41958140000000005,2020-09-19 07:54:44
0.008333325,0.41952157,2020-09-19 07:54:45
0.016528904,0.41956140000000003,2020-09-19 07:54:45
0.049586773,0.41957134,2020-09-19 07:54:46
0.01666665,0.42030429999999996,2020-09-19 07:54:47
0.024793386,0.420263,2020-09-19 07:54:47
0.024793386,0.42024225,2020-09-19 07:54:48
0.016528904,0.42025429999999997,2020-09-19 07:54:48
0.032786906,0.42023557,2020-09-19 07:54:49
